Name,Comedy,Action,Fantasy,Adventure,Kids,Drama,Sci-Fi,Music,Shounen,Slice of Life,Romance,School,Supernatural,Hentai,Historical,Mecha,Magic,Seinen,Ecchi,Mystery,Sports,Shoujo,Parody,Super Power,Military,Dementia,Demons,Space,Horror,Martial Arts,Harem,Game,Psychological,Police,Samurai,Vampire,Cars,Thriller,Shounen Ai,Josei,Shoujo Ai,Unknown,Yaoi,Yuri,Genres
Uchuu no Stellvia,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"Action, Mecha, Romance, Sci-Fi, Space"
Sakigake!! Cromartie Koukou,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, School, Shounen"
El Hazard: The Alternative World,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Fantasy"
El Hazard: The Wanderers,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Romance, Fantasy"
El Hazard: The Magnificent World,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Romance, Fantasy"
El Hazard 2: The Magnificent World,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Fantasy"
Final Approach,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Drama, Romance, Slice of Life"
Fruits Basket,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo"
Fullmetal Alchemist,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
Full Moon wo Sagashite,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Music, Comedy, Supernatural, Drama, Romance, Shoujo"
Fushigi Yuugi,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo"
Fushigi Yuugi: Eikouden,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy, Romance, Drama, Shoujo"
Futakoi,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Romance, School"
Futakoi Alternative,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Drama, Romance"
